id,login,display_name,type,broadcaster_type,description,profile_image_url,offline_image_url,view_count,created_at,_channel_tags
199023927,stichy_letexier,Stichy_Letexier,,,,https://static-cdn.jtvnw.net/jtv_user_pictures/72b7f8aa-fded-4ead-98c5-f4d982aab750-profile_image-300x300.png,,12.0,2018-02-28T20:25:58Z,"['vTuber', 'pixelart', 'Français']"
173241157,spectral_the_raptor,spectral_the_raptor,,,"Salut je m'appelle Kévin j'ai 25 ans et je suis devenue VTuber dans streaming je joue sur plein de jeu comme Fortnite , CS:GO, Roblox je et VRC n'hésite pas à me follow pour suivre ce que je fait ",https://static-cdn.jtvnw.net/jtv_user_pictures/b741d0ad-7f47-4be8-b759-42dd3a6d2f74-profile_image-300x300.png,,2436.0,2017-09-07T13:06:16Z,"['Vtuber', 'FR', 'Gaming', 'Chill', 'retroGaming', 'Français']"
55341749,saithoorihara,SaithoOrihara,,,"il/iel (He/They) | 22 | FR/ENG Bi-Disaster, Nerdy-Enby but most of all : A Chaos Gremlin.(PFP and Banner by @LadyShazarashi) | Overlay by @minaetea)",https://static-cdn.jtvnw.net/jtv_user_pictures/8e40f316-24f6-4d8a-98b5-f7e12ddb1a71-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/24f3fd66-9b61-4769-9d4e-64a6eae5bc3d-channel_offline_image-1920x1080.png,171.0,2014-01-20T22:57:49Z,"['English', 'vtuber', 'PnGtuber', 'GenshinImpact', 'ffxiv', 'VALORANT', 'Français']"
73622058,brklhdr,BRKLHDR,,affiliate,,https://static-cdn.jtvnw.net/jtv_user_pictures/1a982b86-77e9-4380-b598-fac365494037-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/74d5afd4-ebd8-410f-95a7-155a1ff3465a-channel_offline_image-1920x1080.png,35394.0,2014-10-24T05:19:11Z,"['PC', 'JcE', 'Farming', 'Canada', 'GAMING', 'android', 'vtuber', 'PVP', 'vtuberfr', 'Français']"
79820579,aquashock,AquaShock,,affiliate,• Smol Water Summoner Kitsune • Vtuber  • FR | EN Friendly •,https://static-cdn.jtvnw.net/jtv_user_pictures/c2e68a7d-a893-4c82-831b-7fccba843381-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/658bde0e-4c0c-474b-a8b2-336d1317352c-channel_offline_image-1920x1080.png,5099.0,2015-01-14T19:56:47Z,"['PremièrePartie', 'Vtuber', 'Détente', 'France', 'Chill', 'Bubble', 'Hydrate', 'Blblbl', 'Français']"
91382520,nakinogasai,NakinoGasai,,,I like video games. FR/EN,https://static-cdn.jtvnw.net/jtv_user_pictures/a1e7d8b8-303f-4101-ace3-541f9d43f289-profile_image-300x300.png,,4.0,2015-05-18T17:33:37Z,"['modpack', 'mods', 'hardcore', 'Zombie', 'horror', 'Fr', 'Français', 'Pz', 'vtuber']"
127711138,neryss002,Neryss002,,affiliate,"Hello! Je suis un gars qui adore discuter, je joue à pleins de trucs différents, tu peux passer me voir sur le live je suis sympa!",https://static-cdn.jtvnw.net/jtv_user_pictures/b1f7bc97-f915-4e0e-95f8-5f59cb757638-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/eaa27d38-39d8-4cee-99b5-f8bfe8b21916-channel_offline_image-1920x1080.png,1729.0,2016-06-25T17:30:23Z,"['Vtuber', 'Modded', 'Français']"
470170205,starria9,Starria9,,affiliate,"Petite étoile du soir, vient t'amusé avec moi :)",https://static-cdn.jtvnw.net/jtv_user_pictures/5c0baeda-bed5-4f13-a35a-c8af8b488282-profile_image-300x300.png,,25.0,2019-10-31T15:27:49Z,"['Genshin', 'GI', 'Dropactivés', 'vtuberfr', 'vtuber', 'Français']"
460386913,nysunn,Nysunn,,affiliate,Just a french streamer who wants to make you happy. I speak english and French. She/herVtuber by skiyoshi,https://static-cdn.jtvnw.net/jtv_user_pictures/edfa9811-f7f7-48c9-9682-b58410335f6c-profile_image-300x300.jpeg,,29.0,2019-09-06T19:44:49Z,"['trans', 'english', 'anglais', 'french', 'vtuber', 'Français']"
74016802,volkhiel,Volkhiel,,,Je sais pas trop ce que je fais.,https://static-cdn.jtvnw.net/jtv_user_pictures/6526acc0-ea87-4458-aadd-869a8a53e23e-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/735497cb-9ec5-4dd3-a659-c2c36eb437c6-channel_offline_image-1920x1080.jpeg,56.0,2014-10-29T21:09:18Z,"['charadesign', 'french', 'francophone', 'bd', 'comic', 'gaming', 'jeuxvidéo', 'dessin', 'Français', 'vtuber']"
