id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,tags,_custom_ended_at
46386155484,631620857,lootrrr,Lootrrr,33214,Fortnite,live,[VTUBER FR/EN] LIVE FORTNITE ????????,4,2022-12-08T22:16:37Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_lootrrr-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T22:56:52Z
46385274220,236618981,biyona,Biyona,515025,Overwatch 2,live,"[DROP] Je suis le flantier, mon flan est délicieux 🍮 !planning !rs",31,2022-12-08T18:58:28Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_biyona-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'afc8211a-8eee-48b8-9e18-212f22f657db', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '81e9d348-82e5-4c4f-a140-d2b3779b912d', '2920fbf2-293e-4753-8ec7-b69dba5392d0', 'c2542d6d-cd10-4532-919b-3d19f30a768b']","[]",2022-12-08T23:05:45Z
40597284185,185737374,nekofluufy,nekofluufy,509658,Just Chatting,live,cha va bien,2,2022-12-08T21:40:09Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nekofluufy-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T23:05:45Z
46385722124,52493622,jalyshbles,Jalyshbles,458842,The Room Two,live,(vtuber)(FR/PC) horreur !!,2,2022-12-08T20:27:48Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_jalyshbles-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T23:07:01Z
40160805832,166320128,tayl0o,Tayl0o,18122,World of Warcraft,live,Naxx 10 ! et c'est reparti !!,1,2022-12-08T19:51:47Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_tayl0o-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T23:08:12Z
46385342988,68735965,hannatagi,Hannatagi,156296054,The Knight Witch,live,petit stream en attendent les game awards!,1,2022-12-08T19:11:40Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_hannatagi-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T23:18:01Z
46385673580,61416437,shin_nara,Shin_Nara,513181,Genshin Impact,live,[VTuber] Genshin TCG Impact | J-2 avant SCP,4,2022-12-08T20:17:43Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_shin_nara-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '81e9d348-82e5-4c4f-a140-d2b3779b912d', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', 'c2542d6d-cd10-4532-919b-3d19f30a768b']","[]",2022-12-08T23:19:12Z
46385997212,91517434,xenouu,Xenouu,417528,Albion Online,live,5200H+🔶Sacrificateurs🔶Brumes/Mists Solo,7,2022-12-08T21:31:10Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_xenouu-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T23:27:35Z
46385562172,558857878,saiko_vt,SaiKo_Vt,1584745140,Pokémon Brilliant Diamond/Shining Pearl,live,"[VTUBER FR] Chill sur pokémon, on continue notre route vers la ligue ! Rooarrr !!!",6,2022-12-08T19:57:45Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_saiko_vt-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '6606e54c-f92d-40f6-8257-74977889ccdd', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '81e9d348-82e5-4c4f-a140-d2b3779b912d']","[]",2022-12-08T23:28:42Z
46386348364,558857878,saiko_vt,SaiKo_Vt,1584745140,Pokémon Brilliant Diamond/Shining Pearl,live,"[VTUBER FR] Chill sur pokémon, on continue notre route vers la ligue ! Rooarrr !!!",15,2022-12-08T23:29:40Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_saiko_vt-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '6606e54c-f92d-40f6-8257-74977889ccdd', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '81e9d348-82e5-4c4f-a140-d2b3779b912d']","[]",2022-12-08T23:32:08Z
46385164860,70597564,zykiel,Zykiel,509658,Just Chatting,live,[VTuber FR] Discussion - !twitter !discord !tiktok,5,2022-12-08T18:33:10Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_zykiel-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-12-08T23:33:15Z
