id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,tags,is_mature,_custom_ended_at
46286304348,473794048,muunchama,muunchama,21779.0,League of Legends,live,✨ Carry ta streameuse ! ✨ flex avec les viewers,21.0,2022-11-11T10:59:41Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_muunchama-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', '52d7e4cc-633d-46f5-818c-bb59102d9549', '64d9afa6-139a-48d5-ab4e-51d0a92b22de']",[],,2022-11-11T17:47:47Z
46286659180,506458901,kayato_kamijou,Kayato_Kamijou,836519689.0,DEVOUR,live,(VTuber Live) on va ce faire peur sur devour en vr,13.0,2022-11-11T13:17:31Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_kayato_kamijou-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",[],,2022-11-11T16:57:05Z
46286671468,631875687,naxdyok,naxdyok,497467.0,Monster Hunter: World,live,On continue l'aventure sur MHW en compagnie de GeckoPrism,3.0,2022-11-11T13:21:24Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_naxdyok-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",[],,2022-11-11T17:08:44Z
46286746604,29628896,bakanokira,BakaNoKira,490359.0,Final Fantasy VII Remake,live,[FR/EN] FF VII Remake - Episode 1,1.0,2022-11-11T13:44:35Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_bakanokira-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', '6606e54c-f92d-40f6-8257-74977889ccdd', '6f655045-9989-4ef7-8f85-1edcec42d648']",[],,2022-11-11T20:21:07Z
46286902812,472752815,vitoo_j,Vitoo_J,18122.0,World of Warcraft,live,[VTuber] A la recherche de full skin et ancien raid/DJ mont !rank !com,6.0,2022-11-11T14:27:45Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_vitoo_j-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']",[],,2022-11-11T17:13:30Z
46287027676,136388533,elishiakoi,ElishiaKoi,509660.0,Art,live,[FR/EN] Dessin et Blabla !Discord !Socials,24.0,2022-11-11T15:00:47Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_elishiakoi-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '02ba4017-ed3b-4b82-ab20-011860784f77', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '9e1c4d59-fb88-4b42-99ce-b2776358c547', '52d7e4cc-633d-46f5-818c-bb59102d9549']",[],,2022-11-11T17:34:50Z
46287054300,40215669,miyanaga_,Miyanaga_,516086.0,Grounded,live,[ VtuberFR ] a la recherche du T3 avec Mad ☕ !discord,2.0,2022-11-11T15:07:21Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_miyanaga_-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', '5c22e65e-dc0e-4611-bc4c-85b7de3dd013', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', '6f655045-9989-4ef7-8f85-1edcec42d648']",[],,2022-11-11T20:28:40Z
46287058092,603070336,zenkichi_mh,zenkichi_MH,18070083.0,Soul Hackers 2,live,[FR/PC/VTUBER] MARA WHERE ARE YOU !,1.0,2022-11-11T15:08:21Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_zenkichi_mh-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '54b544af-2d0e-4d17-a653-78e3f6fc1fc8', '6606e54c-f92d-40f6-8257-74977889ccdd', '6f655045-9989-4ef7-8f85-1edcec42d648']",[],,2022-11-11T18:01:40Z
46287073404,111680092,dracksnard,Dracksnard,21779.0,League of Legends,live,Go ranked en compagnie de OrdyaxTV et de HaidenaX Rush Affiliation,1.0,2022-11-11T15:12:11Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_dracksnard-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '3575df89-da01-4fc1-939c-b5465093ed04', '52d7e4cc-633d-46f5-818c-bb59102d9549']",[],,2022-11-11T17:58:39Z
46287094524,462726295,vtlady,VTLady,21779.0,League of Legends,live,[FR|VTuber] 💮🌺🌹 Best URF Gameplay 💮🌺🌹,4.0,2022-11-11T15:17:44Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_vtlady-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",[],,2022-11-11T18:01:40Z
