id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,tags,_custom_ended_at
46318485772,525909897,mateomatiq,Mateomatiq,772421245,NBA 2K23,live,2k23 avec vous fr,1,2022-11-19T09:06:52Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_mateomatiq-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', 'ac763b17-7bea-4632-9eb4-d106689ff409']","[]",2022-11-19T09:14:17Z
46318501724,525909897,mateomatiq,Mateomatiq,772421245,NBA 2K23,live,2k23 avec vous fr,2,2022-11-19T09:15:31Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_mateomatiq-{width}x{height}.jpg,"['ac763b17-7bea-4632-9eb4-d106689ff409', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-19T09:20:11Z
46318532780,733421437,chachat_tv,chachat_tv,515474,Naraka: Bladepoint,live,(PC) [VtuberFR]  GO top 1  !  ! +18 live chill !discord,8,2022-11-19T09:31:25Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_chachat_tv-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '4c15e802-ee32-4145-8375-28ca39cd6560', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549', '8bbdb07d-df18-4f82-a928-04a9003e9a7e']","[]",2022-11-19T11:09:58Z
46318521868,54053149,ledocteurpsychopathe,ledocteurpsychopathe,66170,Warframe,live,"[FR/PC] warframe pc , debut sur pc ep1 #1",1,2022-11-19T09:26:23Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_ledocteurpsychopathe-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '54b544af-2d0e-4d17-a653-78e3f6fc1fc8', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']","[]",2022-11-19T11:41:22Z
46318753132,138691588,amakovt,AmakoVT,670867987,Pokémon Scarlet/Violet,live,[FR/EN]🌸INVOCATIONS ET POKEMON !🌸⌨️!discord !lovemako  !reseaux,35,2022-11-19T11:01:13Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_amakovt-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'ba2c968b-867a-49ce-aebc-3d978a204f4a', '8c1ada77-52f0-4935-a1b0-a02dc65f28b4', '67259b26-ff83-444e-9d3c-faab390df16f', '52d7e4cc-633d-46f5-818c-bb59102d9549', '81e9d348-82e5-4c4f-a140-d2b3779b912d']","[]",2022-11-19T11:54:18Z
46319051116,525909897,mateomatiq,Mateomatiq,772421245,NBA 2K23,live,2k23 avec vous fr,1,2022-11-19T12:41:43Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_mateomatiq-{width}x{height}.jpg,"['ac763b17-7bea-4632-9eb4-d106689ff409', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-19T12:52:12Z
46319017868,799849241,tanjiro4210,tanjiro4210,1469308723,Software and Game Development,live,Fortnite,1,2022-11-19T12:31:27Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_tanjiro4210-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-19T13:04:41Z
46319115868,489634385,demoniia_,demoniia_,509660,Art,live,[FR] Rig (debutant) Et commande Vtuber celle de Seiko,3,2022-11-19T13:00:13Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_demoniia_-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', 'df448da8-7082-45b2-92ad-c624dba6551f', '02ba4017-ed3b-4b82-ab20-011860784f77', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-19T13:22:32Z
46319089740,91517434,xenouu,Xenouu,417528,Albion Online,live,Permafrost🔶Zerg🔶Mayhem Corp,6,2022-11-19T12:53:32Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_xenouu-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-11-19T13:51:49Z
40090622040,631077037,b3thanie3,b3thanie3,493057,PUBG: BATTLEGROUNDS,live,pan pan sur pubg,1,2022-11-19T13:40:28Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_b3thanie3-{width}x{height}.jpg,"['509d720a-1b07-4c03-a1b8-20ab0f3ceb7f', '591a48c3-8319-4286-8385-4e423f408d9a', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-19T14:17:00Z
46319098380,668110099,linirby,Linirby,27471,Minecraft,live,[FR Vtuber] Minecraft Hypixel [Chill],2,2022-11-19T12:55:58Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_linirby-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '81e9d348-82e5-4c4f-a140-d2b3779b912d', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']","[]",2022-11-19T14:18:44Z
46319369260,91517434,xenouu,Xenouu,417528,Albion Online,live,Claymore🔶HG 2v2,10,2022-11-19T14:06:38Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_xenouu-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-11-19T14:33:54Z
